created_at,favorite_count,retweet_count,text
2021-08-20 19:15:11,120,19,"Join the community to enter the contest! 
#Plutoisaplanet Drops Mid-September! https://t.co/nFNeobwdty"
2021-08-20 17:31:41,1523,142,"People are trying to front-run the bear market too early.

I'm still #Bullish and #Bitcoin gonna hit 100k soon.
We are currently not in a bear market.

Continue taking profits on the way up 💪"
2021-08-20 13:45:56,692,82,"The computer can be used as a tool to liberate and protect people, rather than to control them. - Hal Finney"
2021-08-19 18:55:26,906,96,There's a life outside crypto? https://t.co/LC1LP1BfQm
2021-08-19 16:19:48,590,72,"One day we'll ALL have access to crypto - especially in more remote parts of the world.

It will bank the under-banked &amp; unbanked. This opportunity will create widespread freedom.

Imagine #Bitcoin #Ethereum #Cardano &amp; other #crypto owners worldwide, united in financial freedom."
2021-08-19 13:16:25,416,21,"It will take a while for CBDCs to take the mainstream stage.

Based on needs, perhaps more countries will adopt #Bitcoin INSTEAD of having their own #CBDC 🤔"
2021-08-18 19:21:25,584,47,"Back then they didn't want me, now I'm up they all hot on me. https://t.co/7oNxrY9hgL"
2021-08-18 16:01:52,316,54,"The future of music IS decentralized. Very happy to see a platform like @AudiusProject with use cases that help independent artists grow.

Congrats on the recent integration with @tiktok_us - Very excited to see more real-world #Blockchain application like this. https://t.co/52MKG39Mei"
2021-08-18 14:49:03,126,13,Do you know how long it took for life to establish itself on Pluto? https://t.co/fPXNGE6w78
2021-08-18 13:13:04,402,75,"From @glassnode:

Look at what long-term holders (smart money) do.

They take profits on the way up and accumulate at lower prices.

Retail buys the parabolic run-ups to the top. Smart money buys throughout the bear market to increase their wealth.

Do what smart money does. https://t.co/Ng6htXBpi4"
2021-08-17 18:56:01,843,79,"History shows, the best way to to stay hydrated is getting liquidated.

*Cries on the inside* https://t.co/B46DHho3wr"
2021-08-17 18:19:38,258,35,"Got with @TheMoonCarl yesterday to chat #Cardano and #XRP 💥

Catch my talk with him in the link below 🤩
https://t.co/9NliK6BzrF"
2021-08-17 17:19:00,1431,194,"Crypto is a way to take our freedom back.

Taxes can't be for the people when it's in the hands of a failed representation of the people. 

#Crypto is for the people. You control it and store it however you want.

#BTC is the freedom our future needs."
2021-08-17 17:05:30,14,3,@New_MoneyGang is live right after the live stream! Catch them live now! https://t.co/CRnt0wW2V8
