created_at,favorite_count,retweet_count,text
2021-08-20 03:47:31,3309,1453,Finally! Love to see #TUSD / #USDT trading pairs on @HuobiGlobal! What's next? @CiaraHuobi 😜@tusd_official @Tether_to
2021-08-19 04:35:12,18,6,@zosegal @zosegaI_ I will report to @Twitter and delete this account.
2021-08-18 15:57:39,2592,1263,#TUSD is the only stablecoin that offers 24/7 attestation reports. https://t.co/gpnKedpNWo
2021-08-18 15:42:10,2890,1369,https://t.co/2HsrplHMXW
2021-08-18 15:13:17,3223,1530,"According to the @CryptoRank_io professional blockchain data platform, the Total Value Locled (#TVL) of the #TRON public chain exceeded $10.1 billion, ranking third place among other multiple blockchains after Ethereum and Binance Smart Chain blockchains. https://t.co/LbiVhDU63S"
2021-08-17 08:33:52,37,2,@TwinWinNerD @bitpanda Huge congrats!
2021-08-16 09:35:28,345,60,"🧐 You will have a comprehensive understanding of the high-speed development path of #TRON in various fields.
🤗 Let us look at the Semi-Annual Report of #TRON's Achievements in 2021!"
2021-08-16 09:35:28,313,44,"😎 So we conducted the #TRON mid-year summary, divided into eight phases, including @justinsuntron's Achievements, #TRON's Achievements, #NFT, #TRC20-#USDT, #TRON-based #Stablecoins, #TRON Ecosystem, User Growth, and FAQs of #TRON Users."
2021-08-16 09:35:27,3001,1341,"📢 Throughout the first half of 2021, #TRON has made remarkable achievements in #NFT, #Defi, #Stablecoin and many other popular fields ushering in a full-scale explosion of the #TRON ecosystem! https://t.co/vyiMT7sgZV"
2021-08-16 09:23:25,3081,1433,"🔥Total Value Locked(TVL) in #TRON #DeFi exceeded $10 Billion!

💪Thank you for progressing further with #TRON and contributing to its constant development!

🤗We welcome more users and developers to join us. https://t.co/E5lqaAemuU"
2021-08-16 08:28:18,3161,1473,#Defi TVL on #TRON has surpassed $ 10 B. #TRX https://t.co/Rq1L5E0LY8 https://t.co/lcHV5rv6V3
2021-08-16 04:25:18,3445,1628,"🎁Giveaway $300 USDT specially prepared for my fans
 
💰Good Luck! https://t.co/9e17I8XJ7J"
2021-08-16 04:18:36,4098,1479,"😎My Twitter account followers have exceeded 3M!!!
 
🎉Thanks to everyone who made this happen! https://t.co/8NqLzmMtgL"
2021-08-15 09:35:07,5,0,@Spatzipantz @fluffypony So sorry to hear the news. Hope @fluffypony will be released soon. Please let me know if anything I can help.
2021-08-10 03:44:58,415,124,@HuobiGlobal @ethereum @Bitcoin @dogecoin @dfinity @Filecoin @apenftorg #NFT @apenftorg 👏
2021-08-09 08:58:29,3256,1557,"😎 3 million Twitter followers soon!!!

🤗A HUGE thanks to all my Twitter followers! https://t.co/xZvidgsWFa"
2021-08-06 08:27:54,2599,1310,"TrustToken, operator of decentralized finance (DeFi) lending protocol #TrueFi and stablecoin #TUSD, has raised $12.5 million in its new funding round led by Blocktower, a16z and Alameda Research.
https://t.co/Xh3GtAfH7y"
2021-08-06 06:48:04,206,30,@CiaraHuobi 😍
