created_at,favorite_count,retweet_count,text
2021-06-18 16:00:48,38320,11850,"In a democracy, power is given not taken. 

But it is still power. 

Love, compassion, caring have no use for it. But it is fuel for greed, hostility,  jealousy... 

All power corrupts. 

Take care which powers you allow a democracy to wield."
2021-06-16 15:00:37,47862,9284,"The US believes I have hidden crypto. I wish I did but it has dissolved through the many hands of Team McAfee (your belief is not required), and my remaining assets are all seized. My friends evaporated through fear of association. 

I have nothing. 

Yet, I regret nothing."
2021-06-10 16:00:14,12553,2039,"There is much sorrow in prison, disguised as hostility. 

The sorrow is plainly visible even in the most angry faces. 

I'm old and content with food and a bed but for the young prison is a horror - a reflection of the minds of those who conceived them."
2021-06-09 18:01:01,3610,1600,"I discussed in my last tech tweet https://t.co/VxlUMZn2db how foreign agents using social engineering can be inserted into operating systems departments as software engineers. 

Far more important is placing development managers into such departments. Here's how its done: https://t.co/y84j6P8H2q"
2021-06-08 18:02:13,21544,1236,"I have a million followers but I'd be surprised if even 1% bother to read my tweets. 

Ramblings of an old man lost in a near infinite Twitter verse - like tears in rain. 

As you may guess I'm having a down day."
2021-06-08 15:03:18,5193,706,"Now its Jeff Bezos. 

If space travel improves and becomes fashionable perhaps we can abandon the planet we have so thoroughly mangled and seek fresh ones to trash."
2021-06-03 16:01:47,2616,921,"In my last tweet I explained the virtual impossibility of identifying backdoors or other malicious code developed by a foreign agent in the guise of a software engineer. 

I will now explain the process of embedding these agents into targeted companies. https://t.co/z0Ztuq3ApT"
2021-06-02 16:16:22,2549,855,"Iran's centrifuge project was destroyed by hidden code in spite of thorough system auditing and security procedures. 

How is this possible? 

I'll explain using an example and I'm challenging every covert agency to disprove the validity of this explanation. https://t.co/PoSqhBY4X6"
2021-05-31 17:07:58,2431,513,"The intelligence of our electronic means of communication are evolving millions of times faster than the biological evolution of our brains. 

Soon our smartphones will have no need of us - mere appendages wasting valuable CPU cycles for utter trivialities."
2021-05-29 17:00:39,3910,1095,"Our government, in virtual secrecy, decides the course of our lives. We are not consulted. 

""Protecting national secrets"". 

But there no ""secret"" national secrets. 

Hacking now far exceeds the power of data protection. ""Secrets"" is an obsolete term."
2021-05-28 15:00:57,5917,1649,"Governments spy on other governments. They spy on their own citizens. The departments within each government spy on the other. 

We live in an age of suspicion. 

Its only a matter of time before neighbors spy on neighbors. And children spy on their parents."
2021-05-27 18:24:13,3744,881,Love has no object. It is a state of being.
2021-05-27 15:00:48,4761,915,"Today a man facing a difficult situation asked if I knew of painless ways to kill himself. Having little experience in such, I was of not much help. 

The amazing thing is that the tone of the discussion was like discussing the weather. 

Prison is a strange environment."
2021-05-27 07:31:54,708,118,"Addendum: 

The same concept of sequential XOR operations works with four data sets requiring three iterations and five data sets with two iterations. 

Strangely with six sets, the process unravels and produces chaos no matter how many iterations. 

Please God, someone explain."
2021-05-26 15:02:36,2282,476,"This tweet might interest my software engineer followers. 

In my years as a programmer I observed numerous anomalies that may have practical applications. Since I'm getting no younger I thought I'd begin passing them on. 

The first, involving an anomaly with boolean algebra. https://t.co/E4VsQMwFbS"
2021-05-25 22:11:06,2901,278,".@SemPrigoda.

Your father, Aleksei, is with me in a Spanish prison. I'm fighting extradition to the US. He's fighting extradition to Russia. He faces a future more brutal than my own yet he's consistently comforting and courageous. You should be proud of him. He is proud of you."
2021-05-25 18:30:55,3878,460,"I can see a small piece of sky above the tall concrete walls of the prison yard. The walls seem to frame, in contrast, the deep blue sky and the fluffy clouds drifting through it. 

It turns this tiny sky window into a jewel of extraordinary beauty."
2021-05-25 15:01:55,2648,233,"When I was young I was in love. Many times. Or I thought so. The more powerful. The more fire. The faster it burned out. 

I confused love with need, sex, security, comfort. But it is none of these. 

Almost nine years with @theemrsmcafee. I love you baby."
2021-05-24 17:30:54,5317,1812,"Three years ago I predicted a war between governments and crypto. The FED now calls crypto a threat to economic stability and China is outlawing it. 

The war is on and I am a major target. 

Do not be afraid. Crypto is our last hope for financial independence. https://t.co/0nDLU4zCEP"
2021-05-23 15:08:12,20426,2970,"I once had everything. 

After uncountable lawsuits and the reach of the FED's I now have nothing. 

But inside these prison bars I have never felt more free. 

The things you believe you own, in reality own you."
2021-05-22 16:09:40,3285,503,"Bill Gates is sued for divorce because of multiple affairs and hanging with the Jeffrey Epstein crowd?? 

Surely this is a joke. 

Bill makes Mark Zuckerberg look like a sex god."
2021-05-18 22:01:54,3209,457,If there really are aliens watching us they must be mystified as hell.
2021-05-18 20:02:49,2198,255,Top of the list of useless body parts: nipples on men.
2021-05-18 18:01:44,1878,248,"There are over 5 million land dwelling species. 

Forget the cubit miles of Ark required to contain 2 of each. 

The problem is the sloths. 

Moving at 0.01 mph it would take over 100 years to reach the Ark from their native habitat. 

The sloths are the problem."
2021-05-18 16:01:45,2458,344,"Peace in the Middle East? 

Bicycles for fish will happen first."
2021-05-16 16:05:11,2306,226,"When false eye lashes first appeared they were considered ludicrous. Keep this in mind when I release my line of false nose hairs. A variety of shapes and styles to express your every mood. 

Fragrances optional."
2021-05-10 15:08:15,2773,247,"There are eleven English language books in the prison library. Nine of them are third rate romance novels with a ""3 for the price of 1"" label. 

Having resorted to reading them all I now fully relate to the ideologies of book burning."
2021-05-09 18:10:27,3358,299,"Most prison food in Spain is indistinguishable from rat shit in motor oil. The single exception is potato pie, which is only served on Saturdays. 

Unfortunately today is Sunday."
2021-05-09 15:00:27,5730,1453,A world in which dogs write poetry is more believable than the world as seen through the eyes of the media.
2021-05-08 15:01:37,5235,1011,"Do ants fart? 

It's a non trivial question. 

Collectively, ants weigh more than all other creatures on earth combined (look it up). 

If they do fart then the people blaming global warming on cow flatulence need to get a grip. 

Its the ants we should worry about."
2021-05-04 15:01:35,5803,671,"I am almost 76 and have been in prison, without bail, for seven months. Not much for a younger man in his 40s or even 50s. But for me, its likely a significant percent of my remaining days on this earth. 

A lesson in our system of justice."
2021-05-03 20:57:06,2923,404,"What's prison like? 

Imagine preschool where the kids use drugs, carry makeshift weapons and the teachers tase you for asking questions."
2021-05-02 16:02:04,2886,319,"Been spending prison time counting teeth. Here's an oddity: all eight inmates here for armed robbery have perfect teeth. The rest are missing half or more on average. 

No clue what this means, but the anti-gun crowd should take note.

Teeth are important."
2021-04-27 15:00:52,3478,830,"Which came first - 

The lies our government tells us, 

Or the lies we tell ourselves?"
2021-04-26 19:04:20,2750,261,I love America. But its time we started seeing other people.
2021-04-26 15:02:38,7883,1803,The power to define reality is the most abused power of the media. Period. End of tweet.
2021-04-25 16:02:20,11866,1090,"I have been imprisoned in Catalonia nearly 7 months. I speak no Catalan and little Spanish so human contact is limited. There are no entertainments - no escape from loneliness, from emptiness, from myself. 

This has been the most trying period of my life."
2021-04-15 22:03:13,2679,243,"In recorded history no one has escaped this ancient prison yet we are counted three times a day to ensure we are still here. 

Fear of alien abductions is the only rationale I can think of."
2021-04-14 15:03:16,2562,160,"The worst thing about Spanish prisons is the food. 

If I never again have to eat stale bread and a cold hot dog my life would be complete."
2021-04-13 18:01:55,4113,623,"An officer with 26 years experience saying ""I accidentally used my pistol instead of my taser"" is equivalent to saying: 

""I missed your call because I accidentally answered it with my wallet."""
2021-04-12 14:02:01,2846,1031,"Bill Gates wants to dispel sunlight. 

This should dispel any doubts that he is indeed the Prince of Darkness. 

https://t.co/m5qjgr2ZJ0"
2021-04-11 17:02:33,5605,744,"In the midst of this dank prison there is an inmate who is constantly smiling. I asked him why. 

""You don't need a reason to smile"" he said. 

Just thought I'd pass this on."
2021-04-07 20:10:36,1731,412,"Michael Burry. Nothing bending or even approaching SEC regulations. Just warning of a bubble bursting. 

And he is ""visited"" by SEC regulators. He deletes his account. 

Germany. 1939. Hitler's SS ""visited"" every opponent of Hitler's regime. 

They all had a change of heart."
2021-04-07 16:02:33,2849,645,"The US spends our money in secrecy. They reveal mere generalities. Yet our every penny is scrutinized. 

The opposite of our constitution's intent. 

Crypto currency privacy coins are the greatest defense against this corrupt system ever developed."
2021-04-01 18:04:14,2306,621,"Power improves no one. Love, gentleness, compassion, kindness - have no use for power. They flower from the heart. 

The parts hungry for power are greed, hostility and every other destructive aspect of human nature. 

Power corrupts. Without exception."
2021-04-01 16:03:49,2539,422,"Facebook, a private company, can ban an account for breaking its rules. 

Let's accept that. 

But deleting posts for simply interviewing the rule breaker is a precedent that bodes ill for the future of free speech in social media."
2021-03-30 16:26:11,4467,1210,"A new world. 

Composed of a masked society. 

Touching elbows as a greeting. 

Each afraid of the other. 

An invisible threat. 

Designed by nature. 

To endlessly mutate. 

Fueling the fear. 

Of all human decisions and actions 

Those driven by fear are the most destructive."
2021-03-29 16:02:27,1624,200,"Prison is a world unto itself. 

Where all human emotions are exaggerated 

by the boredom and frustration of confinement. 

Anger, violence, hatred, revenge... 

All with short fuses ignited by the tiniest spark. 

The thin veneer of civilization stripped to the bone."
2021-03-28 18:01:40,1313,178,"If prison did not exist

it would require the combined talents of 

David Lynch, Quentin Tarantino 

and the Marquis de Sade to conceive it."
2021-03-28 14:01:51,2345,487,"No one owns truth. It evolves through discourse and facts revealed in time. 

The Earth was once the center of the Universe. Any fool could see the heavens revolve around it - an obvious truth. 

Truth evolves. 

Who owns the truth of vaccines?"
2021-03-26 15:15:58,6284,1606,"Small businesses collapsing. Freedom of movement restricted. Public assembly assaulted. Countries now closing borders. Not just to keep people out. But to keep their own citizens from leaving. 

Shades of the iron curtain. 

Yes there is a pandemic. But it is a pandemic of fear."
2021-03-22 17:00:25,2240,584,"Laws made by those who ignore them, 

Twisted and used to silence those who oppose the makers. 

And I, tangled in their web, 

Will be a warning: 

Meekly accept your vanishing privacy and freedoms, 

Or the wrath of power 

Will be leashed upon you too."
2021-03-21 17:00:36,2043,177,"Across the table a man sits. 

24 years he's lived between these 4 walls. 

Vacant eyes catch mine, 

And for a moment I glimpse the accumulated misery of those years. 

Then he looks away, 

Lost again in his private thoughts."
2021-03-20 19:01:02,1992,243,"Men with nothing. Nothing to gain. Nothing to lose. 

Bartering a shirt for a pair of worn out shoes. 

Begging favors. Threatening retaliation. 

A society of animosity, boredom and frustration. 

This is prison. And it animates the darkside of the human soul."
2021-03-20 15:00:41,3454,367,"A young man sits, 

In a corner of the prison yard, 

Head in hands, 

As if to keep the world out. 

Or his thoughts in. 

14 years for dealing drugs. 

14 years."
2021-03-18 14:00:01,1857,451,"The charges against me are absolutely ridiculous. I am being used as a scapegoat for the US to crackdown on crypto. This is an attack on all crypto. This is purely and simply the truth. 

These are my lead attorneys in my pursuit for justice. https://t.co/fNrwBfb5kT"
